Username,Name,Create Time,Pickup Time,Items,Total Price
lmarzan,Lowe Marzan,Sat Nov 26 17:28:10 2022,Sat Nov 26 17:43:10 2022,"['P.S.M.               | 14 in.     | $25.99  ', 'Root Beer            | Small - $2.25 | $2.25   ', 'Spaghetti with Meatballs ï¿½ $11.89 | Regular    | $11.89  ']",40.13

lmarzan,Lowe Marzan,Sat Nov 26 17:31:26 2022,Sat Nov 26 17:46:26 2022,"['The Combination      | 12 in.     | $22.29  ', 'Lasagna (Sausage and Beef) - $12.89 | Regular    | $12.89  ', 'Roast Beef - $8.39   | Regular    | $8.39   ', 'Iced Tea             | Large - $2.50 | $2.50   ', 'Iced Tea             | Large - $2.50 | $2.50   ']",48.57
lmarzan,Lowe Marzan,Tue Nov 29 12:14:18 2022,Tue Nov 29 13:59:18 2022,"['Spaghetti with Tomato Sauce - $8.79 | Regular    | $8.79   ', 'Dr. Pepper           | Small - $2.25 | $2.25   ', 'Spicy Italian        | 8 in.      | $12.59  ']",23.63

chap14,ChappySix,Tue Nov 29 17:51:31 2022,Tue Nov 29 18:06:31 2022,"['The Combination      | 12 in.     | $22.29  ', 'Dr. Pepper           | Large - $2.50 | $2.50   ']",24.79
chap14,ChappySix,Tue Nov 29 17:55:49 2022,Tue Nov 29 18:10:49 2022,"['P.S.M.               | 12 in. (Gluten Free) | $25.79  ', 'Spaghetti with Tomato Sauce - $8.79 | Regular    | $8.79   ', 'Roast Beef - $8.39   | Regular    | $8.39   ']",42.97
ply02,Pam Lynn,Tue Nov 29 17:57:55 2022,Tue Nov 29 19:12:55 2022,['Spaghetti with Tomato Sauce - $8.79 | Regular    | $8.79   '],8.79
chap14,ChappySix,Tue Nov 29 18:30:59 2022,Tue Nov 29 19:45:59 2022,"['Vegetarian           | 12 in.     | $22.29  ', 'Turkey - $8.39       | Regular    | $8.39   ']",30.68
lmarzan,Lowe Marzan,Tue Nov 29 18:31:23 2022,Tue Nov 29 20:31:23 2022,"['P.S.M.               | 12 in. (Gluten Free) | $25.79  ', 'Sierra Mist          | Large - $2.50 | $2.50   ']",28.29
ply02,Pam Lynn,Wed Nov 30 18:29:54 2022,Wed Nov 30 18:44:54 2022,['Iced Tea             | Small - $2.25 | $2.25   '],2.25
lmarzan,Lowe Marzan,Wed Nov 30 18:36:37 2022,Wed Nov 30 18:51:37 2022,['Spaghetti with Tomato Sauce - $8.79 | Regular    | $8.79   '],8.79
lmarzan,Lowe Marzan,Wed Nov 30 18:37:22 2022,Wed Nov 30 19:37:22 2022,"['Spaghetti with Tomato Sauce - $8.79 | Regular    | $8.79   ', 'Pepsi                | Small - $2.25 | $2.25   ']",11.04
ply02,Pam Lynn,Wed Nov 30 18:37:46 2022,Wed Nov 30 20:37:46 2022,"['The Combination      | 8 in.      | $12.59  ', 'Sierra Mist          | Large - $2.50 | $2.50   ']",15.09
plt,Peter Griffin,Wed Nov 30 21:48:58 2022,Wed Nov 30 23:48:58 2022,"['P.S.M.               | 8 in.      | $12.59  ', 'Root Beer            | Large - $2.50 | $2.50   ']",15.09
user,Johnny Test,Thu Dec  1 11:17:27 2022,Thu Dec  1 12:47:27 2022,['Hawaiian             | 14 in.     | $25.99  '],25.989999999999995
lmarzan,Lowe Marzan,Fri Dec 16 12:13:51 2022,Fri Dec 16 12:28:51 2022,['Spicy Italian        | 12 in. (Gluten Free) | $25.79  '],25.79
lmarzan,Lowe Marzan,Mon Jan  2 19:23:56 2023,Mon Jan  2 20:23:56 2023,"['Spicy Italian        | 12 in.     | $22.29  ', 'Spaghetti with Meatballs – $11.89 | Regular    | $11.89  ']",34.18
